TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,ZIPCODE,CENTERLONGITUDE,CENTERLATITUDE
V02,0902004,金門縣,金寧鄉,Jinning Township,W,09020,892,118.31705,24.42482
V02,0902006,金門縣,烏坵鄉,Wuchiou Township,W,09020,896,119.452738,24.992338
V02,1000201,宜蘭縣,宜蘭市,Yilan City,G,10002,260,121.756935805332,24.7502118444599
V02,1000202,宜蘭縣,羅東鎮,Luodong Township,G,10002,265,121.770178155447,24.6788482384756
V02,1000205,宜蘭縣,礁溪鄉,Jiaoxi Township,G,10002,262,121.734660623872,24.8114419219754
V02,1000207,宜蘭縣,員山鄉,Yuanshan Township,G,10002,264,121.66122815434,24.7419923685441
V02,1000208,宜蘭縣,冬山鄉,Dongshan Township,G,10002,269,121.760255019492,24.6421498627515
V02,1000210,宜蘭縣,三星鄉,Sanxing Township,G,10002,266,121.664271376005,24.6677197201747
V02,1000211,宜蘭縣,大同鄉,Datong Township,G,10002,267,121.504036886227,24.5515208245214
V02,1000402,新竹縣,竹東鎮,Zhudong Township,J,10004,310,121.075363179286,24.730758019945
V02,1000403,新竹縣,新埔鎮,Xinpu Township,J,10004,305,121.093988632325,24.8413395914981
V02,1000404,新竹縣,關西鎮,Guanxi Township,J,10004,306,121.186622052466,24.7851468126823
V02,1000405,新竹縣,湖口鄉,Hukou Township,J,10004,303,121.051724189235,24.8856634127856
V02,1000407,新竹縣,芎林鄉,Qionglin Township,J,10004,307,121.104639369721,24.7657115976639
V02,1000408,新竹縣,橫山鄉,Hengshan Township,J,10004,312,121.146973206254,24.707809200568
V02,1000409,新竹縣,北埔鄉,Beipu Township,J,10004,314,121.064274465753,24.6720740548747
V02,1000410,新竹縣,寶山鄉,Baoshan Township,J,10004,308,120.999160492599,24.7369735135917
V02,1000412,新竹縣,尖石鄉,Jianshi Township,J,10004,313,121.281934125331,24.5949323497203
V02,1000413,新竹縣,五峰鄉,Wufeng Township,J,10004,311,121.138949471172,24.5780540035423
V02,1000501,苗栗縣,苗栗市,Miaoli City,K,10005,360,120.811229945966,24.5638214096281
V02,1000507,苗栗縣,卓蘭鎮,Zhuolan Township,K,10005,369,120.856196561615,24.3251016732567
V02,1000508,苗栗縣,大湖鄉,Dahu Township,K,10005,364,120.863119246148,24.3935964062514
V02,1000509,苗栗縣,公館鄉,Gongguan Township,K,10005,363,120.850590401167,24.5024968580135
V02,1000510,苗栗縣,銅鑼鄉,Tongluo Township,K,10005,366,120.799204284953,24.4559183249445
V02,1000512,苗栗縣,頭屋鄉,Touwu Township,K,10005,362,120.882663130693,24.573454971167
V02,1000513,苗栗縣,三義鄉,Sanyi Township,K,10005,367,120.770192912665,24.3808165943606
V02,1000514,苗栗縣,西湖鄉,Xihu Township,K,10005,368,120.761414373282,24.5415321750682
V02,1000515,苗栗縣,造橋鄉,Zaoqiao Township,K,10005,361,120.869566263697,24.6248131374
V02,1000517,苗栗縣,獅潭鄉,Shitan Township,K,10005,354,120.920668780923,24.5197861413227
V02,1000518,苗栗縣,泰安鄉,Taian Township,K,10005,365,121.068157108615,24.4192581913066
V02,1000701,彰化縣,彰化市,Zhanghua City,N,10007,500,120.569420766195,24.0753290944792
V02,1000703,彰化縣,和美鎮,Hemei Township,N,10007,508,120.511204456277,24.113795345196
V02,1000704,彰化縣,線西鄉,Xianxi Township,N,10007,507,120.452156967481,24.1315812720064
V02,1000705,彰化縣,伸港鄉,Shengang Township,N,10007,509,120.486449029136,24.1636710714172
V02,1000707,彰化縣,秀水鄉,Xiushui Township,N,10007,504,120.504118410652,24.0324940515618
V02,1000708,彰化縣,花壇鄉,Huatan Township,N,10007,503,120.55976548207,24.0300687486711
V02,1000709,彰化縣,芬園鄉,Fenyuan Township,N,10007,502,120.629441417597,24.0062879390655
V02,1000711,彰化縣,溪湖鎮,Xihu Township,N,10007,514,120.483173852792,23.9517145556487
V02,1001009,嘉義縣,東石鄉,Dongshi Township,Q,10010,614,120.173868156004,23.4686605856037
V02,1000713,彰化縣,大村鄉,Dacun Township,N,10007,515,120.558686614474,23.9920920598419
V02,1000714,彰化縣,埔鹽鄉,Puyan Township,N,10007,516,120.459462625743,23.9920441661471
V02,1000715,彰化縣,埔心鄉,Puxin Township,N,10007,513,120.534280216121,23.952775207235
V02,1000716,彰化縣,永靖鄉,Yongjing Township,N,10007,512,120.541603236394,23.921395065095
V02,1000718,彰化縣,二水鄉,Ershui Township,N,10007,530,120.628588970137,23.8092401970986
V02,1000719,彰化縣,北斗鎮,Beidou Township,N,10007,521,120.533156647492,23.8675739950271
V02,1000720,彰化縣,二林鎮,Erlin Township,N,10007,526,120.404224950777,23.9162140539415
V02,1000721,彰化縣,田尾鄉,Tianwei Township,N,10007,522,120.522324422793,23.9005606450856
V02,1000722,彰化縣,埤頭鄉,Bitou Township,N,10007,523,120.467564167138,23.8823411789547
V02,1000723,彰化縣,芳苑鄉,Fangyuan Township,N,10007,528,120.353922574307,23.9537906045352
V02,1000724,彰化縣,大城鄉,Dacheng Township,N,10007,527,120.311328415613,23.8506927614317
V02,1000725,彰化縣,竹塘鄉,Zhutang Township,N,10007,525,120.413664471931,23.8505872029391
V02,1000726,彰化縣,溪州鄉,Xizhou Township,N,10007,524,120.522490423378,23.8272518484685
V02,1000801,南投縣,南投市,Nantou City,M,10008,540,120.67876576366,23.9217353681577
V02,1000802,南投縣,埔里鎮,Puli Township,M,10008,545,120.962525868408,23.9789259092724
V02,1000803,南投縣,草屯鎮,Caotun Township,M,10008,542,120.73261821183,23.983210813786
V02,1000804,南投縣,竹山鎮,Zhushan Township,M,10008,557,120.710079654907,23.6980551826549
